Block,Rep,Box,Leaf,Disk,Env,FocalSR,CompSR,Dens,Type,Focalfemale,FocalDead,FocalDrowned,FocalMissing,NumbDeadComp,TeFemales,TuFemales,Observations
1,1,2,4,16,Cd,2,NA,10,INTRA,Tu,0,0,0,0,NA,3,NA
1,1,1,3,1,N,1,4,2,INTER,Tu,0,0,0,0,0,0,NA
1,1,1,4,2,N,1,4,2,INTER,Tu,0,0,0,0,2,1,NA
1,1,1,3,3,Cd,1,4,2,INTER,Tu,1,0,0,0,1,0,NA
1,1,1,4,4,Cd,1,4,2,INTER,Tu,0,0,0,0,2,0,NA
1,1,1,3,5,N,1,4,4,INTER,Tu,0,0,0,0,5,0,NA
1,1,1,4,6,N,1,4,4,INTER,Tu,0,0,0,0,16,1,NA
1,1,1,3,7,Cd,1,4,4,INTER,Tu,1,0,0,1,0,0,NA
1,1,1,4,8,Cd,1,4,4,INTER,Tu,0,0,0,0,3,0,NA
1,1,1,3,9,N,1,4,10,INTER,Tu,1,0,0,0,15,5,NA
1,1,1,4,10,N,1,4,10,INTER,Tu,0,0,0,0,30,1,NA
1,1,1,3,11,Cd,1,4,10,INTER,Tu,1,0,0,0,1,0,NA
1,1,1,4,12,Cd,1,4,10,INTER,Tu,0,0,0,0,9,0,NA
1,1,2,3,1,N,1,4,2,INTER,Tu,1,0,0,0,13,1,NA
1,1,2,4,2,N,1,4,2,INTER,Tu,0,0,0,0,10,7,NA
1,1,2,3,3,Cd,1,4,2,INTER,Tu,0,1,0,0,1,2,NA
1,1,2,4,4,Cd,1,4,2,INTER,Tu,0,1,0,0,6,1,NA
1,1,2,3,5,N,1,4,4,INTER,Tu,0,0,0,0,21,2,NA
1,1,2,4,6,N,1,4,4,INTER,Tu,0,0,0,0,28,3,NA
1,1,2,3,7,Cd,1,4,4,INTER,Tu,0,0,0,0,6,1,NA
1,1,2,4,8,Cd,1,4,4,INTER,Tu,0,0,0,0,20,1,NA
1,1,2,3,9,N,1,4,10,INTER,Tu,0,1,0,0,13,0,NA
1,1,2,4,10,N,1,4,10,INTER,Tu,0,1,0,0,36,5,NA
1,1,2,3,11,Cd,1,4,10,INTER,Tu,0,0,0,4,3,0,NA
1,1,2,4,12,Cd,1,4,10,INTER,Tu,0,0,0,2,3,0,NA
1,1,1,3,1,N,1,5,2,INTER,Tu,0,0,0,0,0,0,NA
1,1,1,4,2,N,1,5,2,INTER,Tu,0,0,0,0,0,1,NA
1,1,1,3,3,Cd,1,5,2,INTER,Tu,0,1,0,0,1,0,NA
1,1,1,4,4,Cd,1,5,2,INTER,Tu,0,0,0,0,1,0,NA
1,1,1,3,5,N,1,5,4,INTER,Tu,0,0,0,0,21,1,NA
1,1,1,4,6,N,1,5,4,INTER,Tu,0,0,0,0,35,6,NA
1,1,1,3,7,Cd,1,5,4,INTER,Tu,0,0,0,0,4,0,NA
1,1,1,4,8,Cd,1,5,4,INTER,Tu,1,0,0,0,11,2,NA
1,1,1,3,9,N,1,5,10,INTER,Tu,0,0,0,1,39,0,NA
1,1,1,4,10,N,1,5,10,INTER,Tu,0,0,0,0,38,0,NA
1,1,1,3,11,Cd,1,5,10,INTER,Tu,0,0,0,0,2,0,NA
1,1,1,4,12,Cd,1,5,10,INTER,Tu,0,0,0,0,4,0,NA
